text,action,device
could you power on all the screen right now,ENABLE,TV
bro turn up all the television,INCREASE,TV
like switch off lighting,DISABLE,LIGHTS
could you um make lower bedside lamp He owes me a lot of money.,DECREASE,LIGHTS
can you enable my ac for me I am about as tall as my father now.,ENABLE,AC
bro lower the like bulb please,DECREASE,LIGHTS
could you Theres a big package on the desk for you.,NONE,NONE
bro turn down all the air fan right now Did you open the door?,DECREASE,FAN
She was miserable the entire time she was pregnant. alright heat up the room thanks,INCREASE,AC
can you Thats why they pay us the big bucks. thanks,NONE,NONE
hey stop all the sound system for me,DISABLE,MUSIC
bro do you know how to um sing,NONE,NONE
make higher the room light,INCREASE,LIGHTS
ok this is annoying thanks,NONE,NONE
could you I am about as tall as my father now. now,NONE,NONE
yo The volume was up too high on the television. for me,NONE,NONE
We can go to lunch. yo power up like the fan thanks,ENABLE,FAN
yo tell me something interesting,NONE,NONE
could like you power down tv now A yardstick is 3 feet long.,DISABLE,TV
would you boost my playlist please,INCREASE,MUSIC
ok down my lights for me The delayed train has been an unexpected event today.,DECREASE,LIGHTS
How do you celebrate the 4th of July? like alright decrease light for me,DECREASE,LIGHTS
please make higher all the hvac thanks She wished she could speak Italian.,INCREASE,AC
please boost air fan please,INCREASE,FAN
can you gun is not working now,NONE,NONE
yo reduce the hvac please,DECREASE,AC
yo Would you like a drink of my smoothie? now,NONE,NONE
ok i dont like this please,NONE,NONE
yo make lower bedside lamp thanks I only like certain brands of clothes.,DECREASE,LIGHTS
would you disable my television please Tom stepped off the bus with a smile on his face.,DISABLE,TV
can you boost the air conditioning right like now,INCREASE,AC
can like you boost smart tv thanks Ill see to it.,INCREASE,TV
yo The delayed train has been an unexpected event today. thanks,NONE,NONE
hey lower my music uh now I have 10 hair straighteners.,DECREASE,MUSIC
would you uh up bedside lamp please,INCREASE,LIGHTS
ok up ceiling light right now He asked if she wanted room for cream in her coffee.,INCREASE,LIGHTS
hey turn off my ceiling fan right now,DISABLE,FAN
Im having second thoughts about getting married so soon. right now,NONE,NONE
alright turn off like bulb now,DISABLE,LIGHTS
Did you hear about the new animal discovered in Ecuador? bro off ventilator like please,DISABLE,FAN
can you The sooner I get to bed the better. now,NONE,NONE
The broken leg isnt Toms biggest problem. yo its too hot please,DECREASE,AC
"yo His voice was pitchy and weak, partially because he was so nervous. now",NONE,NONE
could you what time is it thanks,NONE,NONE
would you Are you going to have a blue birthday cake for your next birthday? thanks,NONE,NONE
This problem is much bigger than we thought. yo up um my light now,INCREASE,LIGHTS
please tell me a score for me,NONE,NONE
ok It was a very cold fall. please,NONE,NONE
"bro turn up my light On the other hand, I feel like I just have to do it for my sanity.",INCREASE,LIGHTS
alright off like air fan right now Were over the hill now! he called over his shoulder.,DISABLE,FAN
You did right in me by telling the truth. right now,NONE,NONE
could like you make higher my screen now,INCREASE,TV
bro Thats a wrap for me. please,NONE,NONE
I entered Toms name on the list of candidates. for me,NONE,NONE
can you how do i sleep like for me,NONE,NONE
please power off my hvac now,DISABLE,AC
"please dim the lights now In Hong Kong, everyone lives stacked together.",DECREASE,LIGHTS
please decrease all the uh ceiling fan now,DECREASE,FAN
could you switch off air conditioning please,DISABLE,AC
alright switch off the screen right now im hungry,DISABLE,TV
could you activate all the spotify right now She started wondering if he was cheating on her when she saw the receipt for an expensive jewelry purchase.,ENABLE,MUSIC
ok I feel like I am going to pass out. thanks,NONE,NONE
please boost my tv,INCREASE,TV
alright One cannot live on bread alone. thanks,NONE,NONE
ok turn down air like conditioner for me,DECREASE,AC
would you stop all like the ac thanks The car crash was so instantaneous that I barely had time to process it.,DISABLE,AC
"can you In Guam, she laid in the sun and ate mangoes all day. right now",NONE,NONE
yo The planet hadnt yet been discovered. thanks,NONE,NONE
bro make lower the ceiling fan,DECREASE,FAN
alright enable all the speaker His mom was so upset that he knew he couldnt tell her the truth.,ENABLE,MUSIC
Money doesnt grow on trees. can you its too bright now,DECREASE,LIGHTS
"yo People dont realize how often you can fail as a writer, even after you get a good job or get a book deal. for me",NONE,NONE
yo boost um air fan please You guys can leave whenever you want.,INCREASE,FAN
power down all um the ceiling light please,DISABLE,LIGHTS
"She bought the green eyeshadow spontaneously, then regretted the purchase. could you power on my air conditioning for me",ENABLE,AC
alright power up all the uh ceiling fan,ENABLE,FAN
could you power off my television right now,DISABLE,TV
tell me a score now,NONE,NONE
please i want like to eat please,NONE,NONE
yo power uh on television right now,ENABLE,TV
could you up screen please She studied music in college.,INCREASE,TV
yo down the ceiling fan for me It looks like you have bigger problems.,DECREASE,FAN
Can you come over now? yo on fan right now,ENABLE,FAN
could you increase the smart tv thanks Robert tends to talk big.,INCREASE,TV
would you turn down all the television right now,DECREASE,TV
alright can you sleep for me,NONE,NONE
please what is the cup,NONE,NONE
please what is the temperature outside for me,NONE,NONE
yo on all the aircon right now,ENABLE,AC
uh hey power off my ac This is too hefty to easily carry.,DISABLE,AC
can you tell me a temperature outside thanks,NONE,NONE
please Were over the hill now! he called over his shoulder.,NONE,NONE
hey activate my ceiling fan,ENABLE,FAN
um alright can you play music now,NONE,NONE
bro off my cooler uh right now,DISABLE,AC
would you shut down spotify thanks This could become a problem.,DISABLE,MUSIC
alright turn up the playlist for me We have been waiting for this for awhile.,INCREASE,MUSIC
could you off my ceiling fan thanks Is there a big market for this kind of thing these days?,DISABLE,FAN
can you The sooner I get to bed the better. thanks,NONE,NONE
bro make higher lights please,INCREASE,LIGHTS
yo how do i tell a joke thanks,NONE,NONE
She found little pellets of iron in her garden bed. could you shut um down my audio,DISABLE,MUSIC
"hey She ate a sandwich for lunch which contained turkey, cheddar cheese, and slices of strawberries. right now",NONE,NONE
"bro You connect with nature, and whether you plant flowers or vegetables, you get great satisfaction once the fruits of your labor start appearing. for me",NONE,NONE
please boost all the playlist now Shes drop-dead gorgeous.,INCREASE,MUSIC
can you make lower all the bulb thanks,DECREASE,LIGHTS
yo disable um bulb right now Honesty is the best policy.,DISABLE,LIGHTS
could you raise my ceiling fan please,INCREASE,FAN
can you The jar of candles was ready on the table.,NONE,NONE
"bro If you dont shut up, I will turn this car around. please",NONE,NONE
please I prefer ice cream over cake. right now,NONE,NONE
She raised her hand to ask a question. please start ceiling fan for me,ENABLE,FAN
please power off my uh hvac thanks,DISABLE,AC
ok Tom has a pain in his big toe on his right foot. for me,NONE,NONE
bro hello,NONE,NONE
ok make higher all the uh ventilator thanks,INCREASE,FAN
hey time is not working please,NONE,NONE
please tablet is um not working please,NONE,NONE
bro It would be quite impossible to enumerate all the things in existence. for me,NONE,NONE
This big sofa is really not suitable for a small room. could you um raise all the bulb please,INCREASE,LIGHTS
switch off the bulb for me,DISABLE,LIGHTS
He continued talking. bro shut down the air conditioning please,DISABLE,AC
alright I want to be done with this.,NONE,NONE
please turn off ceiling light now,DISABLE,LIGHTS
yo I really need to lose some weight. for me,NONE,NONE
Shes drop-dead gorgeous. ok turn off my light thanks,DISABLE,LIGHTS
power off all like the playlist right now,DISABLE,MUSIC
Ill see to it. like would you activate all the smart tv,ENABLE,TV
"yo When you enter a room, smile and say hello. please",NONE,NONE
yo Dont get too excited! right now,NONE,NONE
hey It took quite a while. please,NONE,NONE
yo power off like light now,DISABLE,LIGHTS
"alright switch uh off spotify Are you really going to ignore me, after everything that happened yesterday?",DISABLE,MUSIC
Her great-great-great grandfather was an outlaw in the Old West. can you stop the tv thanks,DISABLE,TV
yo off tv right now,DISABLE,TV
please power off the bedside lamp You dont say.,DISABLE,LIGHTS
We have been waiting for this for awhile. alright turn on television please,ENABLE,TV
Toms apartment is way too big for just one man. can uh you reduce ceiling light,DECREASE,LIGHTS
please im cold,INCREASE,AC
hey activate all the hvac now We took refuge behind a tree.,ENABLE,AC
could you um off audio please Here is David with his guitar.,DISABLE,MUSIC
would you Who do they believe you are? for me,NONE,NONE
It took quite a while. ok decrease um all the ceiling light thanks,DECREASE,LIGHTS
please Do you have any big plans for the weekend? for me,NONE,NONE
alright enable the air fan right now They made crispy chicken.,ENABLE,FAN
"alright I wanted a little more than that, to be perfectly honest, Trevor. now",NONE,NONE
ok turn um up my hvac please,INCREASE,AC
yo Who wrote Treasure Island? for me,NONE,NONE
ok increase all the like fan please She went to sleep after 12.,INCREASE,FAN
bro um power off my spotify now,DISABLE,MUSIC
What are you talking about? power up my ac,ENABLE,AC
bro The bully at school was mean to everyone except me. please,NONE,NONE
hey tell me a chips,NONE,NONE
We saw her duck. would you lower ceiling fan right now,DECREASE,FAN
would you power off the um speaker for me The cafe is empty aside from an old man reading a book about Aristotle.,DISABLE,MUSIC
alright its hot thanks I found a gold coin on the playground after school today.,DECREASE,AC
can you How big you are! thanks,NONE,NONE
yo Honesty is the best policy. right now,NONE,NONE
turn on hvac for me,ENABLE,AC
ok My big sister washes her hair every morning. now,NONE,NONE
ok do you know how to dance please,NONE,NONE
please make lower all the smart tv for me,DECREASE,TV
could you Thats a wrap for me. for me,NONE,NONE
I have the flowers. right now,NONE,NONE
I really need to lose some weight. ok reduce cooler now,DECREASE,AC
You did right in me by telling the truth. yo turn up all the hvac thanks,INCREASE,AC
yo She was out on the deck of the ship when she saw the first ghosts. please,NONE,NONE
would you turn up lamp thanks,INCREASE,LIGHTS
"would you When you enter a room, smile and say hello. please",NONE,NONE
can you You can never turn the clock back. thanks,NONE,NONE
can you The broken leg isnt Toms biggest problem. for me,NONE,NONE
would you It was a tough time. thanks,NONE,NONE
I have 60 pairs of shoes. hey raise all the aircon um please,INCREASE,AC
"alright She left her umbrella at her dates house, and because the date was so bad, couldnt return to get it. now",NONE,NONE
There are so many things to consider. uh make higher all the speaker thanks,INCREASE,MUSIC
would you The course starts next Sunday. please,NONE,NONE
alright power off my cooler please She was curling her hair when she accidentally burned her forehead.,DISABLE,AC
could you decrease all the ventilator please,DECREASE,FAN
He was innocent of the crime. can you make higher the screen for me,INCREASE,TV
could you He continued talking. thanks,NONE,NONE
ok There is a big stack of mail on the table. thanks,NONE,NONE
yo activate bedside lamp uh now,ENABLE,LIGHTS
could you turn up all the lights right now,INCREASE,LIGHTS
I found a gold coin on the playground after school today. please its too bright for me,DECREASE,LIGHTS
This is too hefty to easily carry. like yo down the ac right now,DECREASE,AC
This room is just about big enough. hey raise all the ceiling fan right now,INCREASE,FAN
She was curling her hair when she accidentally burned her forehead. please,NONE,NONE
ok raise uh the cooler,INCREASE,AC
please power on light please Theres nobody out there.,ENABLE,LIGHTS
Old habits die hard. please increase all the lights for me,INCREASE,LIGHTS
please power down the television please The man looked at her strangely through the window.,DISABLE,TV
can you Whats your favorite holiday? thanks,NONE,NONE
yo can you run now,NONE,NONE
would you can you open the door right now,NONE,NONE
"On top of all that, her parents told her yesterday that they were getting a divorce. for me",NONE,NONE
hey Tom picked up his glass and took a big sip of wine. thanks,NONE,NONE
hey what is the game thanks,NONE,NONE
could you stop audio right now,DISABLE,MUSIC
bro How long does it really take to heal from a bullet wound? right now,NONE,NONE
There was a big fire in my neighborhood. right now,NONE,NONE
We have a juice bar. would you turn on playlist for me,ENABLE,MUSIC
alright switch off my playlist um now Theres nobody out there.,DISABLE,MUSIC
uh please reduce tv now,DECREASE,TV
please make lower um cooler right now Tom has a pain in his big toe on his right foot.,DECREASE,AC
could you how do i tell a joke please,NONE,NONE
alright Wheres the nearest store? now,NONE,NONE
could you do you know how to set an alarm for like me,NONE,NONE
yo We took refuge behind a tree. now,NONE,NONE
yo tell me a weather right now,NONE,NONE
"could you Are you really going to ignore me, after everything that happened yesterday? please",NONE,NONE
can you The security is the safest around. right now,NONE,NONE
yo activate all the lamp right now,ENABLE,LIGHTS
please enable the air conditioner,ENABLE,AC
would you up the ceiling light for me,INCREASE,LIGHTS
I found a gold coin on the playground after school today. turn off smart tv for me,DISABLE,TV
It looks like you have bigger problems. um alright reduce the air conditioner thanks,DECREASE,AC
turn up the ceiling fan right now My water bottle is white and made of steel.,INCREASE,FAN
could you We need congressional support. please,NONE,NONE
ok switch off the ac right now Who do they believe you are?,DISABLE,AC
I have a crush on Albert. please power off uh speaker thanks,DISABLE,MUSIC
That man is creepy. would you power off the television,DISABLE,TV
"He got shot in the stomach, but he didnt die. yo make lower all the tv right now",DECREASE,TV
yo power off the audio now,DISABLE,MUSIC
bro This room is just about big enough. for me,NONE,NONE
"would you You connect with nature, and whether you plant flowers or vegetables, you get great satisfaction once the fruits of your labor start appearing. for me",NONE,NONE
could you Toms house is at least twice as big as mine. right now,NONE,NONE
alright enable like the ac please,ENABLE,AC
alright Thats a wrap for me.,NONE,NONE
yo The bully at school was mean to everyone except me. for me,NONE,NONE
ok power on aircon thanks I can see you.,ENABLE,AC
yo Tulips grow every year. thanks,NONE,NONE
hey turn off all the hvac now I entered Toms name on the list of candidates.,DISABLE,AC
yo power up my sound system right now She found the necklace in a safe at the bottom of her parents closet.,ENABLE,MUSIC
could you enable tv thanks,ENABLE,TV
ok decrease all the ventilator please,DECREASE,FAN
This big sofa is really not suitable for a small room. its too bright uh right now,DECREASE,LIGHTS
would you She sells Christmas trees. right now,NONE,NONE
ok Im having second thoughts about getting married so soon. for me,NONE,NONE
yo Robert tends to talk big. right now,NONE,NONE
can you switch on my smart tv please,ENABLE,TV
alright turn up like all the hvac She went to sleep after 12.,INCREASE,AC
can you switch on my hvac,ENABLE,AC
"hey um raise the air conditioning right now His voice was pitchy and weak, partially because he was so nervous.",INCREASE,AC
You dont need 20 captains. alright power off my like audio thanks,DISABLE,MUSIC
could you Being the last male on my dads side of the family has its perks. right now,NONE,NONE
can you news is not working,NONE,NONE
Nikita is a perfectly respectable businessman. ok turn um down the lights,DECREASE,LIGHTS
please Today is the first day he made it to work on time in a while. please,NONE,NONE
ok um increase all the air fan for me,INCREASE,FAN
He has a nice sum of money put away. bro start air conditioning please,ENABLE,AC
Theres nobody out there. can you switch off the aircon now,DISABLE,AC
yo off all the spotify now,DISABLE,MUSIC
bro Robert tends to talk big. thanks,NONE,NONE
hey raise the sound system right now Mary enjoys cooking.,INCREASE,MUSIC
yo raise the playlist thanks Are you going to have a blue birthday cake for your next birthday?,INCREASE,MUSIC
The plant was fake but looked very real. please,NONE,NONE
please switch off the lamp right now,DISABLE,LIGHTS
alright The bully at school was mean to everyone except me. now,NONE,NONE
power off uh ventilator right now,DISABLE,FAN
yo He was dressed for work. right now,NONE,NONE
She went to sleep after 12. now,NONE,NONE
alright like i want to play music please,NONE,NONE
hey make higher room light um thanks,INCREASE,LIGHTS
switch off all the air fan,DISABLE,FAN
"alright She waited all day for her boss to call, but heard nothing. right now",NONE,NONE
"could you start the tv uh now In Guam, she laid in the sun and ate mangoes all day.",ENABLE,TV
hey turn off uh hvac please,DISABLE,AC
hey My water bottle is white and made of steel. please,NONE,NONE
can you Ill see to it. thanks,NONE,NONE
I have 10 hair straighteners. hey power off all the lamp,DISABLE,LIGHTS
alright It was a tough time. now,NONE,NONE
could you turn off like the air fan now Id like to talk about the benefits of having a pet pig.,DISABLE,FAN
The smoke was high in the sky. please,NONE,NONE
make it warmer for me,INCREASE,AC
She started drinking again because she felt so awkward at social gatherings. hey turn down the ceiling fan now,DECREASE,FAN
please A balanced diet is a cookie in each hand. now,NONE,NONE
can you You dont need 20 captains. right now,NONE,NONE
would you English Speaking Courses are the hardest ones.,NONE,NONE
"please raise my air conditioner thanks Get away from me, you slimy little worm!",INCREASE,AC
would you stop my air like conditioning thanks,DISABLE,AC
ok turn off uh all the ceiling fan Tom stepped off the bus with a smile on his face.,DISABLE,FAN
alright This is the biggest apple Ive ever seen. now,NONE,NONE
please turn down smart tv thanks,DECREASE,TV
hey Tulips grow every year. now,NONE,NONE
would you I like veggies too. for me,NONE,NONE
could you The security is the safest around.,NONE,NONE
please This weekend is going to be the best weekend ever. please,NONE,NONE
The planet hadnt yet been discovered. yo activate the audio please,ENABLE,MUSIC
I check off each task on my list as soon as I complete it. would you on cooler right now,ENABLE,AC
She liked him until he said he was a Marxist. yo turn like up my aircon please,INCREASE,AC
alright She had to start saving in October so she could afford to buy Christmas presents for all her family and friends. thanks,NONE,NONE
I want to be done with this. um please turn down the cooler thanks,DECREASE,AC
yo how do i send a message thanks,NONE,NONE
alright stop um the television for me We saw her duck.,DISABLE,TV
Heres my big brother. Doesnt he look good? please start all the bulb for me,ENABLE,LIGHTS
could you lower my television now He was dressed for work.,DECREASE,TV
"She bought the green eyeshadow spontaneously, then regretted the purchase. yo shut down my cooler now",DISABLE,AC
can you how do i jump,NONE,NONE
could you A balanced diet is a cookie in each hand. please,NONE,NONE
We took refuge behind a tree. can you enable uh smart tv right now,ENABLE,TV
hey make lower smart tv for me,DECREASE,TV
alright switch off all the bulb for me Everything will be okay in the end.,DISABLE,LIGHTS
tell me something interesting please make higher my room light now,INCREASE,LIGHTS
would you Tom picked up his glass and took a big sip of wine. right now,NONE,NONE
would you Who do they believe you are? please,NONE,NONE
can you raise the uh ceiling fan right now,INCREASE,FAN
He read the report. yo start the air conditioner thanks,ENABLE,AC
"When the cats away, the mice play. yo boost television",INCREASE,TV
He won the race through his determination and focus. like on ac for me,ENABLE,AC
I want many things for myself. for me,NONE,NONE
please off my speaker now,DISABLE,MUSIC
could you Everything will be okay in the end. thanks,NONE,NONE
would you make lower all the screen Here is David with his guitar.,DECREASE,TV
could you raise ceiling fan please,INCREASE,FAN
I am afraid of dark afternoons. would you shut down the television right now,DISABLE,TV
would you switch on like all the playlist It was a tough time.,ENABLE,MUSIC
could you power on all the ceiling light,ENABLE,LIGHTS
The laptop light was the only one light on the room. alright turn down um all the television thanks,DECREASE,TV
alright what is uh the score right now,NONE,NONE
ok im cold for me,INCREASE,AC
would you turn down all like the hvac thanks She sells Christmas trees.,DECREASE,AC
The plant was fake but looked very real. please uh power on all the tv,ENABLE,TV
"hey turn down uh spotify thanks When she saw Walmart had rotisserie chickens, she thought, this is a miracle.",DECREASE,MUSIC
please That was last week.,NONE,NONE
alright its uh too dim,INCREASE,LIGHTS
I have 60 pairs of shoes. could you decrease speaker thanks,DECREASE,MUSIC
"bro i uh am cold On top of all that, her parents told her yesterday that they were getting a divorce.",INCREASE,AC
"bro She bought the green eyeshadow spontaneously, then regretted the purchase. please",NONE,NONE
yo boost sound system for me Its easier to clean with disposable dishes.,INCREASE,MUSIC
this is so stupid power off the tv now,DISABLE,TV
can you turn down uh the screen for me He read the report.,DECREASE,TV
tell me something interesting ok power off bedside lamp right now,DISABLE,LIGHTS
yo You had me worried for a moment. right now,NONE,NONE
Its rare to find big yards in Japan. please turn up my tv right like now,INCREASE,TV
bro make lower all the aircon thanks this is annoying,DECREASE,AC
The clock was ticking and kept me awake all night. yo start smart tv for me,ENABLE,TV
like could you disable all the ceiling light right now She really wanted to go out to a diner and eat some greasy toast and eggs for breakfast.,DISABLE,LIGHTS
How big you are!,NONE,NONE
Thats the biggest grasshopper Ive ever seen. power down all the ventilator for me,DISABLE,FAN
The new movie was not as good as I thought it would be. alright turn up all the fan for me,INCREASE,FAN
Honesty is the best policy. bro power down my spotify now,DISABLE,MUSIC
bro like power on my speaker right now Ill see to it.,ENABLE,MUSIC
please There used to be a big cherry tree behind my house. for me,NONE,NONE
um turn off my speaker now,DISABLE,MUSIC
alright power off my speaker now,DISABLE,MUSIC
would you Shape up or ship out! now,NONE,NONE
I love this headline so much. now,NONE,NONE
alright He owes me a lot of money. please,NONE,NONE
could you raise all the television like right now Tom has a pain in his big toe on his right foot.,INCREASE,TV
yo turn down all the air fan now The car crash was so instantaneous that I barely had time to process it.,DECREASE,FAN
hey increase the ceiling light thanks,INCREASE,LIGHTS
alright He read the report. please,NONE,NONE
yo I am about as tall as my father now. thanks,NONE,NONE
Juice was something I never drank.,NONE,NONE
ok increase all the air fan for me,INCREASE,FAN
hey turn down all the ventilator uh for me,DECREASE,FAN
bro tell me something interesting right now,NONE,NONE
"She left her umbrella at her dates house, and because the date was so bad, couldnt return to get it. ok up my cooler right now",INCREASE,AC
bro decrease fan thanks Weve got much bigger problems to deal with right now.,DECREASE,FAN
alright down the speaker thanks That man is creepy.,DECREASE,MUSIC
ok like switch off all the fan right now,DISABLE,FAN
"She bought the green eyeshadow spontaneously, then regretted the purchase. yo turn down my tv please",DECREASE,TV
how are you uh alright reduce my music for me,DECREASE,MUSIC
alright up hvac right now,INCREASE,AC
She had to start saving in October so she could afford to buy Christmas presents for all her family and friends. alright like power on my tv for me,ENABLE,TV
ok boost the like bedside lamp right now,INCREASE,LIGHTS
"please power on the aircon right now Once you join me, we can go visit the aquarium at the mall.",ENABLE,AC
"He had a sore throat, so I gave him my bottle of water. could you power on the air conditioner right now",ENABLE,AC
would you Your house is beautiful. now,NONE,NONE
I wish I had met my uncle yesterday like I was supposed to. could you make higher all the ac right now,INCREASE,AC
Bumble is better. bro turn up room light for me,INCREASE,LIGHTS
could you how do i open the door for me,NONE,NONE
alright shut down like tv thanks Kens uncle has a chicken farm.,DISABLE,TV
He was dressed for work. could you make lower lamp um now,DECREASE,LIGHTS
alright what is the game now,NONE,NONE
can you tell a joke,NONE,NONE
bro i want to sing please,NONE,NONE
this is so stupid ok decrease hvac for me,DECREASE,AC
My sister likes to eat cheese on her peanut butter sandwich and pickles on her ice cream. please dim the lights right now,DECREASE,LIGHTS
bro He asked if she wanted room for cream in her coffee. for me,NONE,NONE
"ok turn up the tv Show me your rates, please.",INCREASE,TV
"ok um disable the music now When you sit down for a long time, it hurts.",DISABLE,MUSIC
would you heat up uh the room please,INCREASE,AC
alright She was very tired and frustrated.,NONE,NONE
Do you have any big plans for the weekend? alright turn on my fan right now,ENABLE,FAN
alright turn off sound system now,DISABLE,MUSIC
could you He has made a big improvement in tennis. now,NONE,NONE
I have 60 pairs of shoes. hey power up all the spotify,ENABLE,MUSIC
"bro off um my ventilator please He had a sore throat, so I gave him my bottle of water.",DISABLE,FAN
would you i want to send a message for me,NONE,NONE
bro stop all the ventilator The plant was dying a sad little death.,DISABLE,FAN
"When she saw Walmart had rotisserie chickens, she thought, this is a miracle. its hot now",DECREASE,AC
could you food is not working please,NONE,NONE
bro make lower the um screen thanks,DECREASE,TV
hey um activate my playlist please This is the biggest apple Ive ever seen.,ENABLE,MUSIC
would you like make lower ventilator now,DECREASE,FAN
yo how do i tell a joke,NONE,NONE
yo how do i sing now,NONE,NONE
I really need to lose some weight. alright reduce my cooler thanks,DECREASE,AC
hey You dont say. for me,NONE,NONE
hey boost like the cooler please Today is the first day he made it to work on time in a while.,INCREASE,AC
turn down ventilator,DECREASE,FAN
could you make like lower air conditioner,DECREASE,AC
would you can you tell a joke please,NONE,NONE
bro how do i set an alarm uh thanks,NONE,NONE
"yo lower the hvac thanks Show me your rates, please.",DECREASE,AC
hey enable the air fan like right now Its easier to clean with disposable dishes.,ENABLE,FAN
would you She was determined to summit Mount Everest before she turned twenty-nine. right now,NONE,NONE
"would you She had strange, green and purple eyes.",NONE,NONE
alright tell me a news thanks,NONE,NONE
please shut down lamp now,DISABLE,LIGHTS
yo turn down all the playlist right now,DECREASE,MUSIC
would you decrease my air uh fan now,DECREASE,FAN
Nothing beats a big glass of beer in summer. can you switch on my smart tv for me,ENABLE,TV
bro power off ventilator like now Old habits die hard.,DISABLE,FAN
could you on all the light please I wanted to do well in the interview.,ENABLE,LIGHTS
alright turn uh off all the ventilator,DISABLE,FAN
would you The spoon lay next to the fork. right now,NONE,NONE
I wouldnt bet on going to the fair today. can um you turn down all the lights please,DECREASE,LIGHTS
can you do you know how to eat thanks,NONE,NONE
hey reduce ceiling fan for me,DECREASE,FAN
hey Thats the biggest grasshopper Ive ever seen. please,NONE,NONE
yo She mixed up the recipes and accidentally made a beef parfait. thanks,NONE,NONE
ok uh start my music now,ENABLE,MUSIC
They painted the coffee shop ceiling black. ok up all the air fan thanks,INCREASE,FAN
"like yo shut down smart tv now When you enter a room, smile and say hello.",DISABLE,TV
yo She constantly thought she was one mistake away from being fired. thanks,NONE,NONE
hey A balanced diet is a cookie in each hand. now,NONE,NONE
can you power off air like fan,DISABLE,FAN
bro enable all the ventilator now,ENABLE,FAN
ok This will make a real difference. right now,NONE,NONE
hey make higher speaker right now,INCREASE,MUSIC
alright how do i set an alarm now,NONE,NONE
could you Could you tell me what time it is?,NONE,NONE
ok off the sound system um for me Heres my big brother. Doesnt he look good?,DISABLE,MUSIC
could you There are so many things to consider. right now,NONE,NONE
Tom has a pain in his big toe on his right foot. ok boost my tv please,INCREASE,TV
"In Australia, there is a store called PieFace which sells meat pies with smiley faces on them. make higher the air um fan thanks",INCREASE,FAN
would you Im going to Lollapalooza.,NONE,NONE
alright I check off each task on my list as soon as I complete it. thanks,NONE,NONE
could you turn down all the lights,DECREASE,LIGHTS
This is my big break. please shut down the aircon now,DISABLE,AC
"Once you join me, we can go visit the aquarium at the mall. turn up ventilator now",INCREASE,FAN
Tom cant forget the time he and Mary had their first argument. lower aircon please,DECREASE,AC
can you how do i set an alarm for me,NONE,NONE
can you activate the ceiling light He has a nice sum of money put away.,ENABLE,LIGHTS
can you I feel like I am going to pass out. right now,NONE,NONE
um bro im cold please,INCREASE,AC
She sells Christmas trees. can you its uh too hot right now,DECREASE,AC
Id like to talk about the benefits of having a pet pig. hey make it brighter thanks,INCREASE,LIGHTS
bro down the playlist uh now A red tie will match that suit.,DECREASE,MUSIC
would you She was very tired and frustrated. right now,NONE,NONE
like could you power up all the fan,ENABLE,FAN
please make it warmer now Kens uncle has a chicken farm.,INCREASE,AC
boost my lights please Hes not the sharpest knife in the drawer.,INCREASE,LIGHTS
bro shut down lights,DISABLE,LIGHTS
We need congressional support. please make higher the air conditioning for me,INCREASE,AC
ok decrease all the speaker It looks like you have bigger problems.,DECREASE,MUSIC
ok i want um to tell a joke for me,NONE,NONE
The tall girl tied her tennis shoes and went outside. um bro im hot,DECREASE,AC
hey switch off the ventilator,DISABLE,FAN
I made a list. alright enable like my air fan,ENABLE,FAN
hey heat up the room right now We can go to lunch.,INCREASE,AC
yo its too cold for me,INCREASE,AC
hey decrease ac now Tulips grow every year.,DECREASE,AC
please You guys like meat. thanks,NONE,NONE
alright make higher all the spotify for me,INCREASE,MUSIC
would you The man was busted for theft. right now,NONE,NONE
please lower all the speaker please,DECREASE,MUSIC
would you power off all the fan,DISABLE,FAN
would you i want to cook dinner for me,NONE,NONE
hey decrease um all the air fan It will definitely happen sometime in the future.,DECREASE,FAN
like bro turn down television,DECREASE,TV
could you turn on ceiling light please,ENABLE,LIGHTS
could you power on the tv right uh now,ENABLE,TV
boost the television please,INCREASE,TV
"make higher my air conditioner for me That house is small, but its big enough for us.",INCREASE,AC
yo its too dark Thats a wrap for me.,INCREASE,LIGHTS
yo its too uh hot right now,DECREASE,AC
ok power on all the playlist please,ENABLE,MUSIC
ok We should hang soon.,NONE,NONE
yo My dad needs a new job. please,NONE,NONE
He ran his horse up the hill. alright turn up my uh spotify for me,INCREASE,MUSIC
hey enable all the ceiling fan thanks,ENABLE,FAN
turn up ceiling fan thanks The car crash was so instantaneous that I barely had time to process it.,INCREASE,FAN
"Get away from me, you slimy little worm! hey on air uh conditioning right now",ENABLE,AC
yo up television now,INCREASE,TV
could you this is annoying thanks,NONE,NONE
could you You dont need 20 captains.,NONE,NONE
ok i want uh to jump now,NONE,NONE
like power down all the music thanks This will make a real difference.,DISABLE,MUSIC
Trees are small when they are first planted. would you power on the room light,ENABLE,LIGHTS
uh could you off my room light for me The mailbox was bent and broken and looked like someone had knocked it over on purpose.,DISABLE,LIGHTS
We saw her duck. please power off my television please,DISABLE,TV
would you You have to take the good with the bad. right now,NONE,NONE
yo increase the television for me,INCREASE,TV
can you The volume was up too high on the television. right now,NONE,NONE
hey lower the tv I have a brochure for our vacation.,DECREASE,TV
My favorite one smells like roses. can you enable the hvac please,ENABLE,AC
"alright She waited all day for her boss to call, but heard nothing. please",NONE,NONE
ok The car crash was so instantaneous that I barely had time to process it. now,NONE,NONE
